answers,sentiment
"My 15 years residency with CIT-University is an advantage as I am familiar with the different departments and people or team working in CIT-University. With my experience and acquired knowledge, I believe that I can contribute that is necessary.",Positive
 I wanted to work in CIT-U because I feel comfortable to work in the environment since I am an Alumni. Knowing CIT-U as one of the most prestige school in Cebu that for me will surely help me develop my working skills and at the same time will help me grow professionally and will boost my confidence to pursue more on my career with a lot of opportunities.,Positive
" I would to like continue my studies. CIT was my training ground, being in CIT is like in a very familiar and comfortable place. It's near from where I'm located. And lastly, I believe CIT would mold me into a better person, career-wise.",Positive
 I did my undergraduate OJT at CV-FIC under Engr. Concordia Bacalso. That is how I have developed an interest and passion for research.,Positive
" The main reason why I wanted to apply for this job and work in this University is because I want to have personal and career growth and development. Since before, years back when I was still in college up to now I have heard great things about the university. One of it is the quality education and training given to students. Another is that I know CIT is one that can best lead me to further grow in my profession. I believe that I will be able to further my knowledge, skills and abilities in the field of Guidance and Counseling if I work here while pursuing my Masteral Degree as well. Hopefully, I can also share my learnings from my studies by applying it when I will be able to work in this university.",Positive
 When I read about your university hiring post I found about my skills and experience are matching your requirement where I can showcase my skills to contribute to the university growth.,Positive
" All the experiences and skills that I have acquired for the past years, I will dedicatedly contribute it to your company, I will be of service for people in need and will always be open to a lot of ideas to create an efficient team work to reach every goal and to gain inspiration from people around me and also to be an inspiration to them as well. I’d like to enhance myself not just as employee but as a person and with CIT-U I believe I will acquire new skills and will be able to showcase my ability for the goals of your company.",Positive
 I aspire to work in CIT-University as it would be an incredible opportunity to render service to my alma mater. I believe that the institution is a conducive work environment to continuous learning and for nurturing my abilities. I admire the institution's way of academic life and I endeavor to practice its core values in a professional setup while utilizing my skills in construction and project management.,Positive
" Cebu Institute of Technology - University is not just my alma mater but an organization I have always admired since I was in high school. I was also given the opportunity as an Intern in the office I'm applying to now in college, and I know my skills will be put into good use - reasons why I'm leaving my current position.",Positive
" During the initial interview, i can already tell this is the type of environment I'm excited to work in and thrive in in the long term. The opportunities to tackle different projects are what draw me since I’m inclined to be solution-oriented. The opportunities to expand in this field are something that cannot be grasp anywhere else.  It's challenging and never redundant. I'm thrilled by the idea of working on projects in an environment I'm quite familiar with and working with people i look up to. For me, this opportunity offers an environment for me to expand professionally.",Positive
 The main reason why I want to work in CIT University is because it provides an excellent avenue for me to grow my career in a long-term basis. Other reasons are because it provides competitive salary better than _what I _am earning right now and because I have known a lot of people in the university which makes working comfortable and fun. I also want to give back to my university out of their goodness in accepting me as one of its working student for five years.,Positive
 My main reason why I wanted to work in CIT-University is that I see that the company is very stable no matter what happens. I have witnessed it since I was a child given that my mother have always grateful for this institution ever since and now I am giving back my loyalty thru serving the company in all the best that I can offer.,Positive
 I want to share my knowledge and experiences with the university. To impart best practices from the previous employer that can be of great help to my new employer. To be an asset to the university.,Positive
 The reason why I want to work in CIT-U is because I believe I will grow as an individual working with people who produces top notchers and successful individuals.,Positive
" I have found my interest with great hope to be one of your qualified school staff in your highly respected institution. I believe that I can contribute to the university by executing the skills that I acquired from my past career experiences. I learned to be versatile, dependable and well-rounded. I can easily adapt to any context and I’m enthusiastic about the task assigned to me.",Positive
"As I went through the journey of my career, the urge to impart knowledge when it comes to art and design also grew within me. CIT - University presented this opportunity as a part-time BMMA faculty, and it would be such an honor to provide my expertise and knowledge for this institution, and cultivate the passion for the visual arts to those who desire it—just as what my educators have done here in CIT-U.",Positive
A great opportunity for me to work in a very prestigious University.,Positive
"I want to work for my Alma Mater. I tried 2 trimesters in San Carlos and it really didn’t sit well with me. CIT doesn’t just feel like home, it is. Also, if I am going to be driving for almost an hour for commute, I’d rather go to a place that puts me in a location that is close to my girlfriend’s house.",Positive
"I love the idea of teaching what I have learned working in the Tech industry to up-and-coming computer science/information technology students. Imparting them with knowledge necessary.In the industry which helps them fast track their careers in the industry. I chose to apply in CIT-U, my Alma Mater, because it would be an honor to impart my knowledge to our very own future CSS graduates. I have also a high confidence in the quality and integrity of the teaching Philosophy and methods in CIT-U.",Positive
"As an alumnus of CIT-U, I am well aware of the excellent training that the university provides for its students and the drive of the faculty in producing industry-ready graduates. As such, I believe that my experience in teaching can assist in this endeavor and that my miscellaneous skills will be of use to the school. And personally, I would like to give back to the university that made me who I am today and to work with the figures that assisted me.",Positive
"I have been an architect for more than 5 years now and i’ve always felt that there was something lacking from what I learned in school versus my actual practice. I aim to help the architects of the future be more prepared when they become professionals. I feel like CIT, my mother’s alma mater, is a good avenue for this because of the institutions drive for excellence.",Positive
I want to work in CIT mainly because I want to use my skills to impart knowledge and also to influence and inspire my fellow technologians in a positive way.,Positive
"Aside from the greatest honor and privilege to be part of the most well-known and prestigious school that has provide various successful engineers in our society, it would also serve as one of the achievement in my life that will be able to impart some knowledge and wisdom to those aspiring civil engineers. And also one of my reason that I really want to teach rather than work in our field, is that I believe in this ne new generation that they have much to offer in our world having this constant change when in terms of technology and met methodology in building structures may it vertical or horizontal. And become the person that would motivates them to thrive and to be driven in order to achieve their goals in life with a firm faith in God.",Positive
Passion and additional income.,Positive
I have realized that this teaching profession is an occupation that I enjoy whole heartedly. After qualifying and joining your institution my most heartedly concern is to help and contribute to the need of engineering students to link the studies in actual realization. I will ensure that they will learn the techniques that allowed them to retain the information for a long period of time.,Positive
